index,xt_p,wt_p
0,3.202,0.5186357668282061
1,3.122,1.8954315809164053
2,2.81,0.6561581477467723
3,2.94,3.3322460289179867
4,2.81,0.6561581477467723
5,3.128,1.7584743029766212
6,2.93,3.122539333667607
7,2.82,0.7895015830089457
8,3.0,3.989422804014327
9,3.042,3.6526267262215417
10,2.9859999999999998,3.950517408346111
11,2.9779999999999998,3.8940375883379024
12,3.25,0.17528300493568544
13,2.9699999999999998,3.8138781546052383
14,3.1420000000000003,1.4556413003734692
15,2.864,1.5822479037038282
16,2.998,3.988624999236661
17,2.856,1.4145996522483857
18,3.106,2.2746963245738625
19,2.84,1.1092083467945535
